isScaledUiToken,multiplier,address,decimals,price,lastTradeUnixTime,liquidity,logoURI,mc,name,symbol,v24hChangePercent,v24hUSD,cache_timestamp
False,,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,6,0.9997975064494471,1770309707,258597054.90594086,https://424565.fs1.hubspotusercontent-na1.net/hubfs/424565/PYUSDLOGO.png,802698082.4114418,PayPal USD,PYUSD,41.954098699977685,36912041.545260385,2026-02-05 17:42:59.911903
False,,2MD7uaKdorkruo8tpNgUKYs4WVCbY9pdqJm3f3jMoxJe,6,0.0002626350766182838,1770309613,85912.90491612678,https://ipfs.io/ipfs/bafkreiekjpvc5omjweqvpd4po5sgltc2zudk7qzwpqr435bsclpl6lie4q,262635.039554067,TEA_PROTOCOL_COINS Boost Amm,Tea,,36691057.842910126,2026-02-05 17:42:59.911903
False,,HeUCjDGC4oQzq6tm6XjSADyLtN5jAbuJnpnJbuLiAypv,6,0.004760258295401847,1770300428,12333.91790001343,https://gateway.irys.xyz/2KxpXzeXu7Stqn6eTKsjJy34mSLPAzKF64rdGeuujTz9,47602582.19237714,FNEF,C1ON,,35683173.87379971,2026-02-05 17:42:59.911903
False,,FoHn64dyHsAypvM2PQ6a95zwS4JK8R6bi54rv6kUKZot,6,9.28350551911971e-06,1770309423,19637.894264037674,https://ipfs.io/ipfs/QmXGaqYPyk7qmdLoSA8vfv8g6ciiGHC5mzppkHKiszDaCk,92835.05510764556,SOAR,Senk AR,,35018567.90469214,2026-02-05 17:42:59.911903
False,,3bJ4zDg5zgvHKTWKMixSajCZzL2FdviyVP5H6dBuGvRd,6,0.006207006557645174,1770309709,11705.688926300501,https://ipfs.io/ipfs/QmdLwv7j2t5sYZHES8cQujrB5hC2CDQNqab5vM9ccdnmjd,620700655.7024473,FUEF Uranium Enrichmen FUEF,C0IN,,33412177.69510649,2026-02-05 17:42:59.911903
False,,6Y48LHweaFGDAzm6iy8KJS7KYt1N3MprZjqhvwoNpudR,6,1.1168481355367204e-05,1770308027,50407.02836801309,https://gateway.irys.xyz/WIZeCkiThj34EUfU0TeKabkmjnBkgpvte0tfttQCkvc,1116848.1355143834,VDR,Vooerk,,33380965.127666812,2026-02-05 17:42:59.911903
False,,CxSZZpEfnnvT6bNjtUhEFUu3H5dvPRHeQ7xhupUiiLKo,6,0.006023408506934581,1770307335,11250.551055930779,https://gateway.irys.xyz/WIZeCkiThj34EUfU0TeKabkmjnBkgpvte0tfttQCkvc,602340850.6814113,VDR,Vooerk,,33258657.00785817,2026-02-05 17:42:59.911903
False,,DmKYzHnqhVFiYHSKDXCTDyXUtzmQyvzYR6KJJNCGB4EF,6,1.1794311073511416e-05,1770308477,50703.74574910899,https://gateway.irys.xyz/2KxpXzeXu7Stqn6eTKsjJy34mSLPAzKF64rdGeuujTz9,117943.10884802439,FNEF,C1ON,,33132255.07346186,2026-02-05 17:42:59.911903
False,,6fAZuBwCzyr3N65jzRdTjwcap6i21dVbuqF5f9XcvY4e,6,0.004781219539416261,1770309588,50856.76273720527,https://gateway.irys.xyz/L4QYajpnVm3NcaQjLarKHqBkxxvVmbSFkvNG3ZrZ1vZ,478121953.88425153,USOR-Oil,OIl CK,,33081325.63543708,2026-02-05 17:42:59.911903
False,,3BEh4WMb4vMRtfGFghrt4gX7Ygc97HUZeH1E341sStFc,6,0.003403567746427227,1770309704,50831.97806321649,https://gateway.irys.xyz/L4QYajpnVm3NcaQjLarKHqBkxxvVmbSFkvNG3ZrZ1vZ,340356774.6018799,USOR-Oil,OIl CK,,33009685.488899875,2026-02-05 17:42:59.911903
False,,3pCuttW8ernheLC2FajzN7Z5WcEFTshcpJbkk2TcaJsa,6,1.2904734937109063e-05,1770309662,17110.715702733072,https://cyan-top-booby-588.mypinata.cloud/ipfs/QmW2QkbXtfzd8WWe5jmenf1RqowwDZZWrXRXsT271NmJYS,1290473.4935947638,The Promise Land TPL,Land TPL,,33007132.849654447,2026-02-05 17:42:59.911903
False,,484zXdUtuVbQDK8MeadrhGqheqdLU8UdA89rhWgj6W3v,6,1.2082509486319435e-05,1770307665,50696.49274234688,https://gateway.irys.xyz/WIZeCkiThj34EUfU0TeKabkmjnBkgpvte0tfttQCkvc,1208250.9486077784,VDR,Vooerk,,32997705.90461102,2026-02-05 17:42:59.911903
False,,9fJ4wiSy5EksgPkmx2Xuam3Ra81AUqGgawUc8BJwnCSy,6,0.011455694002965628,1770309672,12855.8725854914,https://ipfs.io/ipfs/QmdehTm15FLGCbyjotAdaBeiS73Qsg8T1YJWjyJPwGMgzq,1145569400.182006,BFS,Bemfek,,32988754.92798222,2026-02-05 17:42:59.911903
False,,1iwudpQq5A7cSFNnQq7GX9e47YagNkNznrJD54Z4FG7,6,0.0065223815104224776,1770309694,11375.927249403736,https://ipfs.io/ipfs/QmWxFBTXy9xBurbnrbZHma8kM1qgVkKGGeN9YvK7qUk8xt,6522381510.363777,AWP,C0IN,,32952292.782543585,2026-02-05 17:42:59.911903
False,,9nU95HNwErWaYwstXppREF3L42NZRnBLfHyLPYxT41tU,6,0.005086309262846551,1770309118,16973.66155423647,https://ipfs.io/ipfs/QmdehTm15FLGCbyjotAdaBeiS73Qsg8T1YJWjyJPwGMgzq,508630926.233792,BFS,Bemfek,,32952078.2851984,2026-02-05 17:42:59.911903
False,,Bj3WmFp1gq4YNW9Hk3edgwJ1m592ayL67cNAhh3J9JBL,6,1.2256957556573988e-05,1770308519,50814.78396441534,https://ipfs.io/ipfs/QmWxFBTXy9xBurbnrbZHma8kM1qgVkKGGeN9YvK7qUk8xt,12256957.556463677,AWP,C0IN,,32943205.866674386,2026-02-05 17:42:59.911903
False,,GQzj1jMAdNdeDm8DyaPJU4ene3xBb9bkKrqWUdZzty4b,6,0.018215695561306016,1770309414,19055.54914452842,https://ipfs.io/ipfs/QmdehTm15FLGCbyjotAdaBeiS73Qsg8T1YJWjyJPwGMgzq,1821569555.9484446,BFS,Bemfek,,32933005.96658409,2026-02-05 17:42:59.911903
False,,fFMCzKjJYRhFDZe8o9SbuzsNWGXTpbS3Z2qKogU9vXg,6,0.005671415923744941,1770308190,10728.990265333836,https://ipfs.io/ipfs/QmXGaqYPyk7qmdLoSA8vfv8g6ciiGHC5mzppkHKiszDaCk,56714159.186406665,SOAR,Senk AR,,32930657.405858025,2026-02-05 17:42:59.911903
False,,6ips8cX4kBpaCHHFXmULEuhKg3ypf25ScZJ3eZHEnJmu,6,0.006413080773221645,1770300591,11271.601222297313,https://cdn.moonshot.com/erEqiyYv60dOhNuaiejswTzB.jpg,641306323.9281634,OAX,OANEX,,32903178.09144929,2026-02-05 17:42:59.911903
False,,5kcSYR9TMAJC1tKT987d3UajZeBpC6BsHYJ9vGb5T6xy,6,0.006096169879201501,1770308686,10987.11660158294,https://gateway.irys.xyz/L4QYajpnVm3NcaQjLarKHqBkxxvVmbSFkvNG3ZrZ1vZ,609616987.8469961,USOR-Oil,OIl CK,,32845996.773151256,2026-02-05 17:42:59.911903
False,,7csasVsKUMWpV2K2BQpUYokocMwnzXf9rACuKA6hXfL1,6,0.029216008953267716,1770308871,37444.76017455851,https://ipfs.io/ipfs/QmdehTm15FLGCbyjotAdaBeiS73Qsg8T1YJWjyJPwGMgzq,2921600895.0346117,BFS,Bemfek,,32807791.323503412,2026-02-05 17:42:59.911903
