address,pnl,trade_count,volume,cache_timestamp
2xrpbm72nZU1M8uc8XtT4UB5zjXrL8eKHRQgah7tnxCL,1739011.5224650032,86,2049748.7645364578,2024-12-02 13:59:56.004298
4LZKUGRsHww51mD5TMbV8ncAoe5ymYiw3ZfcWzoS5wq5,1734925.7328572648,300,125618.77865854648,2024-12-02 13:59:56.004298
5iBRaovsivTfBySwvS4T7fd4ojR7ESoHFBDkNa4UCtTF,1729124.5794400927,447,7295446.329066167,2024-12-02 13:59:56.004298
2VCx7EZVg16t9nDJcdQ2qRuX37t9Wyc7mkAAqmVn7wMb,1558579.5189023633,376,333211.3879100444,2024-12-02 13:59:56.004298
H6rE1WZ8oCC9WPvoFhgC66hb7yNavFZeb46hShRi6S58,1557417.5360081699,4417,1685864.6169043516,2024-12-02 13:59:56.004298
Xh8HJaeVFfLJpnG4uFkQA4Vv8RpKJH4CZrhzJZW22EZ,1547105.5039399443,2425,463994.1942724079,2024-12-02 13:59:56.004298
8u2pWNkNKctBzFKtefftaP9oCSdu56HrzAUxMhG3zTkD,1528980.1836815376,2,18918.279824297526,2024-12-02 13:59:56.004298
4MhetZQKUsm9dwMYKSJVCiYxbD1rnk93Th97nPfWkNbV,1522401.5857575028,9662,2087463.399801144,2024-12-02 13:59:56.004298
CB5e2EXjRCUmni77EJ1pWELiPnrMqZ8RzHoz4RUKLckL,1489062.4578386578,578,264709.8134692056,2024-12-02 13:59:56.004298
45MtW4gGNr6hTVVbVHGRkpYn6PjqYmkrsxqBPuYQKAZK,1473072.9355994377,27,2181778.901863779,2024-12-02 13:59:56.004298
9rx2sFooy7kJXXFBAS1hJJekEhhtDQPyEpEpogdjnit1,1433942.946847067,5335,32542655.76611352,2024-12-02 13:59:56.004298
Eom56t9z1y1hF7wCgC36kXoQszNz5g8WzSiqz3QSCSda,1399795.5297574648,691,1510112.7539054134,2024-12-02 13:59:56.004298
43xiJ46G5d1XHPJr1iEu3oev7Ynt31DTshhAzcfonhDR,1366953.6628194076,2448,1447918.3120101318,2024-12-02 13:59:56.004298
F9rjfoq3YAz1e7Sn2Q5p64u9BTosqQEvjFNg8RgnqBT2,1347857.7966540898,810775,1482654.9766557193,2024-12-02 13:59:56.004298
3jgub3P9KP3XA9Dwh7XpKu35BiQNTZZXbPmfBAJMsroL,1346843.8969678378,903,1738630.7217795786,2024-12-02 13:59:56.004298
E9LEaHbuSFStXv771ciFNaqFt3dMA8cqxhWT2VEvjLeX,1336952.473903754,1163,2027507.1519262528,2024-12-02 13:59:56.004298
DyG1bvVxQuG9v4wiZh2j1mvCouuU9GRcizv4DkDtpA8Y,1325575.6441123583,631,1996102.8095580935,2024-12-02 13:59:56.004298
GvUpUPCt9fJA6GR9rikhUAK9aKrmXy3nnmxYNYa2Saba,1284509.0966807266,1144,1969442.415858436,2024-12-02 13:59:56.004298
9NJBTL8ZNPPXkQRkrZTafTVHNQ3BipMFYwSTUi3p8ZBX,1258577.551337436,193436,1421513.7825687742,2024-12-02 13:59:56.004298
Bocg3TdZegQwnWpYihPzJkgYDUDzRaZQ7LmkqP4FL89s,1230775.5525654359,2987,1331518.104870513,2024-12-02 13:59:56.004298
3By4r24L4aajiyBQXNVbRLi2AQzYwAimDMyoNceKiS82,1218459.388992441,735,1480644.2738225712,2024-12-02 13:59:56.004298
Haee7H5bKDCnm6dXLkeR9DcWw9Puhnkwk71QBUSHcpUt,1217682.0678875293,21,1178938.2188448666,2024-12-02 13:59:56.004298
FtVq2huUhU33TNmEbmEQb4kwDEfZeU9tFvBgk7mwWnBx,1189232.9323495373,32,16756.190634921863,2024-12-02 13:59:56.004298
orcACRJYTFjTeo2pV8TfYRTpmqfoYgbVi9GeANXTCc8,1188382.4433161009,159022,58283022.60433293,2024-12-02 13:59:56.004298
A7i2sTAwGSsVK9yxVzQ7cJyKacmJqQWseVRKDgGCRdpT,1171099.3830208746,25,3655.415519077257,2024-12-02 13:59:56.004298
AvYwohK2odA5Nh9DcXm8rKttxbZFfXjG95HGtdkGyLtQ,1150333.1253688894,5435,1269379.8847651535,2024-12-02 13:59:56.004298
HEaBFXfWHDL1DFUy4sz92Suaf37Niosmv7SS8rDSfRCh,1118424.0456670572,453,1439089.2393839115,2024-12-02 13:59:56.004298
59f8QZw28zhiWKqonYEyQNNf1zoefNK61UgXGBz22Tyz,1112283.6755144587,43,55111.54417385914,2024-12-02 13:59:56.004298
AojsMucuraCTZh94UwsMXcfRQASWKtC375tJ5iC5dTpE,1109181.6183476197,98312,171600836.4281749,2024-12-02 13:59:56.004298
